epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.137,1.73922,2.14559,1.57806,0.48564,0.50337,0.34903,0.16704,2.44402,2.74793,2.10339,0.000554212,0.000554212,0.000554212
2,552.622,1.61225,1.66369,1.50011,0.38399,0.32772,0.24748,0.12495,2.41763,2.76096,2.12438,0.000890123,0.000890123,0.000890123
3,783.528,1.56219,1.58958,1.4743,0.36405,0.47755,0.25819,0.13057,2.23128,2.64905,2.13025,0.00100599,0.00100599,0.00100599
4,1014.76,1.46353,1.47852,1.42081,0.35653,0.45118,0.25802,0.11466,2.39268,2.49641,2.20906,0.000676802,0.000676802,0.000676802
5,1246.65,1.34937,1.35256,1.35876,0.30336,0.41807,0.19019,0.08358,2.5492,2.62882,2.45273,0.000346736,0.000346736,0.000346736
